role,feature,mean_day1,mean_day2,std_mean_diff,n_day1,n_day2,abs_std_mean_diff
POSSESSED,Req(V),0.20444444444444446,0.16444444444444445,-0.0642740036171982,225,225,0.0642740036171982
POSSESSED,Vote_recepient_id_Wait,0.175,0.14285714285714285,-0.06761381967790735,80,21,0.06761381967790735
POSSESSED,Sus_recepient_id_contradiction,0.0390625,0.06666666666666667,0.10184614752150266,128,45,0.10184614752150266
POSSESSED,Est_id_Sus,1.309090909090909,1.8181818181818181,0.3407864485601609,55,22,0.3407864485601609
POSSESSED,Est_id_Mt,1.8727272727272728,2.0,0.05791677758007889,55,22,0.05791677758007889
POSSESSED,Agr_id_ReqDiscuss,2.877551020408163,2.5789473684210527,-0.0739572178435343,49,19,0.0739572178435343
POSSESSED,confused,0.12444444444444444,0.057777777777777775,-0.15148751894011497,225,225,0.15148751894011497
POSSESSED,Dis_id_ReqDiscuss,2.216867469879518,1.4615384615384615,-0.24801977534972972,83,26,0.24801977534972972
POSSESSED,Sus_recepient_id_ReqListen,0.5,0.08888888888888889,-0.27436421361003593,128,45,0.27436421361003593
POSSESSED,Dis_id_Fact,0.21686746987951808,0.15384615384615385,-0.10808267736308115,83,26,0.10808267736308115
POSSESSED,Dis_id_confused,0.10843373493975904,0.11538461538461539,0.020568744794079944,83,26,0.020568744794079944
POSSESSED,Vote_recepient_id_Mt,2.4375,2.2857142857142856,-0.05405023918964392,80,21,0.05405023918964392
POSSESSED,Agr_id_Fact,0.16326530612244897,0.2631578947368421,0.17342115844821668,49,19,0.17342115844821668
POSSESSED,Sus_recepient_id_difficult,0.1171875,0.17777777777777778,0.1196897757572975,128,45,0.1196897757572975
POSSESSED,day1_vote_id_ReqListen,0.365,0.015,-0.5366217553125873,200,200,0.5366217553125873
POSSESSED,Vote_recepient_id_Admiration,0.0125,0.0,-0.158113883008419,80,21,0.158113883008419
POSSESSED,Fact_recepient_id_confused,0.05,0.2,0.44447831849231534,20,10,0.44447831849231534
POSSESSED,day1_vote_id_Req(CO),0.055,0.015,-0.1381826789927493,200,200,0.1381826789927493
